,lq period,lq check,max profit,max %,volume
0,51840.0,0,71.5,6.11,1363232.277
1,51840.0,0,76.9,6.58,1363232.277
2,51840.0,0,84.4,7.24,1363232.277
3,51840.0,0,87.0,7.47,1363232.277
4,51840.0,0,91.3,7.85,1363232.277
5,51840.0,0,93.0,8.0,1363232.277
6,51840.0,0,85.5,7.34,1363232.277
7,51840.0,0,85.8,7.36,1363232.277
8,51840.0,0,87.4,7.5,1363232.277
9,51840.0,0,86.9,7.46,1363232.277
10,51840.0,0,84.5,7.25,1363232.277
11,51840.0,0,85.5,7.34,1363232.277
12,51840.0,0,82.9,7.11,1363232.277
13,51840.0,0,81.3,6.97,1363232.277
14,51840.0,0,81.0,6.94,1363232.277
15,51840.0,0,85.6,7.35,1363232.277
16,51840.0,0,88.4,7.59,1363232.277
17,51840.0,0,89.4,7.68,1363232.277
18,51840.0,0,90.3,7.76,1363232.277
19,51840.0,0,89.1,7.65,1363232.277
20,51840.0,0,87.6,7.52,1363232.277
21,51840.0,0,87.6,7.52,1363232.277
22,51840.0,0,97.9,8.43,1363232.277
23,51840.0,0,102.9,8.87,1363232.277
24,51840.0,0,99.1,8.54,1363232.277
25,51840.0,0,103.6,8.94,1363232.277
26,51840.0,0,104.0,8.97,1363232.277
27,51840.0,0,103.0,8.88,1363232.277
28,51840.0,0,95.6,8.23,1363232.277
29,51840.0,0,90.5,7.78,1363232.277
30,51840.0,0,86.9,7.46,1363232.277
31,51840.0,0,83.0,7.12,1363232.277
32,51840.0,0,72.5,6.2,1363232.277
33,51840.0,0,68.9,5.88,1363232.277
34,51840.0,0,75.7,6.48,1363232.277
35,51840.0,0,82.3,7.06,1363232.277
36,51840.0,0,81.6,6.99,1363232.277
37,51840.0,0,85.6,7.35,1363232.277
38,51840.0,0,87.9,7.55,1363232.277
39,51840.0,0,91.5,7.87,1363232.277
40,51840.0,0,96.5,8.31,1363232.277
41,51840.0,0,95.9,8.25,1363232.277
42,51840.0,0,88.8,7.63,1363232.277
43,51840.0,0,90.1,7.74,1363232.277
44,51840.0,0,97.7,8.41,1363232.277
45,51840.0,0,98.0,8.44,1363232.277
46,51840.0,0,92.2,7.93,1363232.277
47,51840.0,0,94.4,8.12,1363232.277
48,51840.0,0,95.6,8.23,1363232.277
49,51840.0,0,99.2,8.55,1363232.277
50,51840.0,0,104.2,8.99,1363232.277
51,51840.0,0,100.9,8.7,1363232.277
52,51840.0,0,98.5,8.48,1363232.277
53,51840.0,0,97.6,8.4,1363232.277
54,51840.0,0,97.4,8.39,1363232.277
55,51840.0,0,97.1,8.36,1363232.277
56,51840.0,0,92.1,7.92,1363232.277
57,51840.0,0,88.2,7.57,1363232.277
58,51840.0,0,90.3,7.76,1363232.277
59,51840.0,0,92.4,7.94,1363232.277
60,51840.0,0,94.5,8.13,1363232.277
61,51840.0,0,98.0,8.44,1363232.277
62,51840.0,0,90.7,7.79,1363232.277
63,51840.0,0,83.4,7.15,1363232.277
64,51840.0,0,78.6,6.73,1363232.277
65,51840.0,0,85.0,7.29,1363232.277
66,51840.0,0,83.9,7.2,1363232.277
67,51840.0,0,83.1,7.13,1363232.277
68,51840.0,0,78.8,6.75,1363232.277
69,51840.0,0,79.4,6.8,1363232.277
70,51840.0,0,80.1,6.86,1363232.277
71,51840.0,0,81.9,7.02,1363232.277
72,51840.0,0,83.2,7.14,1363232.277
73,51840.0,0,82.1,7.04,1363232.277
74,51840.0,0,87.5,7.51,1363232.277
75,51840.0,0,84.0,7.21,1363232.277
76,51840.0,0,76.0,6.5,1363232.277
77,51840.0,0,74.0,6.33,1363232.277
78,51840.0,0,73.4,6.28,1363232.277
79,51840.0,0,66.7,5.69,1363232.277
80,51840.0,0,77.6,6.64,1363232.277
81,51840.0,0,77.7,6.65,1363232.277
82,51840.0,0,76.9,6.58,1363232.277
83,51840.0,0,79.8,6.84,1363232.277
84,51840.0,0,79.8,6.84,1363232.277
85,51840.0,0,85.2,7.31,1363232.277
86,51840.0,0,85.2,7.31,1363232.277
87,51840.0,0,87.0,7.47,1363232.277
88,51840.0,0,87.8,7.54,1363232.277
89,51840.0,0,89.2,7.66,1363232.277
90,51840.0,0,91.8,7.89,1363232.277
91,51840.0,0,93.4,8.03,1363232.277
92,51840.0,0,90.9,7.81,1363232.277
93,51840.0,0,84.7,7.27,1363232.277
