,lq period,lq check,max profit,max %,volume
0,330.0,1,10.7,16.83,7460922.201
1,330.0,1,9.8,15.4,7460922.201
2,330.0,1,8.9,13.98,7460922.201
3,315.0,1,8.9,0.0,3626580.0246
4,330.0,1,8.9,0.0,7460922.201
5,330.0,1,8.9,0.0,7460922.201
6,330.0,1,8.9,0.0,7460922.201
7,330.0,1,3.5,5.53,7460922.201
8,330.0,1,5.0,7.91,7460922.201
9,330.0,1,3.8,6.01,7460922.201
10,330.0,1,5.1,8.07,7460922.201
11,330.0,1,7.4,11.72,7460922.201
12,330.0,1,5.8,9.18,7460922.201
13,330.0,1,5.8,9.18,7460922.201
14,330.0,1,4.0,6.32,7460922.201
15,330.0,1,4.0,0.0,7460922.201
16,330.0,1,0.8,1.26,7460922.201
17,330.0,1,0.4,0.63,7460922.201
18,330.0,1,0.4,0.0,7460922.201
19,330.0,1,0.4,0.0,7460922.201
20,330.0,1,0.4,0.0,7460922.201
21,330.0,1,0.4,0.0,7460922.201
22,330.0,1,0.4,0.0,7460922.201
23,330.0,1,0.4,0.0,7460922.201
24,335.0,1,1.9,3.03,9838047.4931
25,335.0,1,1.9,0.0,9838047.4931
26,335.0,1,4.6,7.35,9838047.4931
27,335.0,1,4.3,6.87,9838047.4931
28,335.0,1,3.8,6.07,9838047.4931
29,335.0,1,0.3,0.48,9838047.4931
30,335.0,1,0.3,0.0,9838047.4931
31,335.0,1,0.3,0.0,9838047.4931
32,335.0,1,0.3,0.0,9838047.4931
33,335.0,1,0.3,0.0,9838047.4931
34,335.0,1,4.2,6.73,9838047.4931
35,335.0,1,2.8,4.48,9838047.4931
36,335.0,1,1.5,2.4,9838047.4931
37,335.0,1,1.5,0.0,9838047.4931
38,335.0,1,0.5,0.8,9838047.4931
39,335.0,1,1.7,2.72,9838047.4931
40,335.0,1,5.6,8.99,9838047.4931
41,335.0,1,6.0,9.63,9838047.4931
42,335.0,1,4.3,6.9,9838047.4931
43,335.0,1,4.2,6.74,9838047.4931
44,335.0,1,5.5,8.83,9838047.4931
45,335.0,1,5.7,9.15,9838047.4931
46,335.0,1,7.1,11.4,9838047.4931
47,1090.0,1,12.2,19.65,6802948.3236
48,335.0,1,8.9,14.31,9838047.4931
49,335.0,1,7.0,11.24,9838047.4931
50,335.0,1,7.0,0.0,9838047.4931
51,335.0,1,7.0,0.0,9838047.4931
52,335.0,1,2.0,3.21,9838047.4931
53,335.0,1,3.0,4.82,9838047.4931
54,335.0,1,3.1,4.98,9838047.4931
55,335.0,1,3.1,0.0,9838047.4931
56,335.0,1,3.1,0.0,9838047.4931
57,335.0,1,3.1,0.0,9838047.4931
58,1090.0,1,2.5,4.02,6802948.3236
59,1090.0,1,4.1,6.6,6802948.3236
60,1090.0,1,5.7,9.18,6802948.3236
61,335.0,1,5.7,0.0,9838047.4931
62,335.0,1,5.7,0.0,9838047.4931
63,1090.0,1,5.7,0.0,6802948.3236
64,1090.0,1,5.7,0.0,6802948.3236
65,1090.0,1,5.7,0.0,6802948.3236
66,1090.0,1,5.7,0.0,6802948.3236
67,1160.0,1,16.4,26.96,5049898.5875
68,1160.0,1,20.0,32.95,5049898.5875
69,1160.0,1,20.6,33.95,5049898.5875
70,1180.0,1,22.7,37.45,2085413.0074
71,1180.0,1,24.5,40.46,2085413.0074
72,1160.0,1,22.2,36.62,5049898.5875
73,1160.0,1,21.1,34.78,5049898.5875
74,1160.0,1,18.8,30.95,5049898.5875
75,1160.0,1,13.2,21.66,5049898.5875
76,1160.0,1,15.7,25.8,5049898.5875
77,1160.0,1,19.8,32.61,5049898.5875
78,1180.0,1,25.2,41.63,2085413.0074
