,lq period,lq check,max profit,max %,volume
0,15840.0,0,650.3,102.26,755512.3891
1,15840.0,0,649.4,102.07,755512.3891
2,15840.0,0,648.5,101.89,755512.3891
3,15840.0,0,639.6,100.02,755512.3891
4,15840.0,0,643.4,100.81,755512.3891
5,15840.0,0,647.5,101.67,755512.3891
6,15840.0,0,654.4,103.13,755512.3891
7,15840.0,0,659.7,104.26,755512.3891
8,15840.0,0,661.2,104.58,755512.3891
9,15840.0,0,660.0,104.32,755512.3891
10,15840.0,0,661.3,104.6,755512.3891
11,15840.0,0,663.6,105.09,755512.3891
12,15840.0,0,662.0,104.75,755512.3891
13,15840.0,0,662.0,104.75,755512.3891
14,15840.0,0,660.2,104.36,755512.3891
15,15840.0,0,656.2,103.51,755512.3891
16,15840.0,0,659.0,104.11,755512.3891
17,15840.0,0,658.6,104.02,755512.3891
18,15840.0,0,658.2,103.94,755512.3891
19,15840.0,0,661.3,104.6,755512.3891
20,15840.0,0,663.2,105.0,755512.3891
21,15840.0,0,666.7,105.75,755512.3891
22,15840.0,0,667.6,105.95,755512.3891
23,15840.0,0,673.6,107.24,755512.3891
24,15840.0,0,676.6,107.89,755512.3891
25,15840.0,0,674.7,107.48,755512.3891
26,15840.0,0,680.3,108.69,755512.3891
27,15840.0,0,680.0,108.63,755512.3891
28,15840.0,0,679.5,108.52,755512.3891
29,15840.0,0,676.0,107.76,755512.3891
30,15840.0,0,675.7,107.69,755512.3891
31,15840.0,0,677.9,108.17,755512.3891
32,15840.0,0,678.4,108.28,755512.3891
33,15840.0,0,679.3,108.47,755512.3891
34,15840.0,0,685.3,109.78,755512.3891
35,15840.0,0,683.9,109.48,755512.3891
36,15840.0,0,682.6,109.19,755512.3891
37,15840.0,0,681.1,108.87,755512.3891
38,15840.0,0,683.6,109.41,755512.3891
39,15840.0,0,684.8,109.67,755512.3891
40,15840.0,0,688.7,110.53,755512.3891
41,15840.0,0,689.1,110.62,755512.3891
42,15840.0,0,687.4,110.24,755512.3891
43,15840.0,0,687.3,110.22,755512.3891
44,15840.0,0,688.6,110.51,755512.3891
45,15840.0,0,688.8,110.55,755512.3891
46,15840.0,0,690.2,110.86,755512.3891
47,15840.0,0,695.3,111.98,755512.3891
48,15840.0,0,692.0,111.25,755512.3891
49,15840.0,0,690.1,110.84,755512.3891
50,15840.0,0,683.1,109.3,755512.3891
51,15840.0,0,684.6,109.63,755512.3891
52,15840.0,0,690.1,110.84,755512.3891
53,15840.0,0,691.1,111.06,755512.3891
54,15840.0,0,691.2,111.08,755512.3891
55,15840.0,0,688.1,110.4,755512.3891
56,15840.0,0,688.2,110.42,755512.3891
57,15840.0,0,688.9,110.57,755512.3891
58,15840.0,0,692.7,111.41,755512.3891
59,15840.0,0,694.3,111.76,755512.3891
60,15840.0,0,695.9,112.12,755512.3891
61,15840.0,0,690.2,110.86,755512.3891
62,15840.0,0,691.4,111.12,755512.3891
63,15840.0,0,696.1,112.16,755512.3891
