,lq period,lq check,max profit,max %,volume
0,10820.0,1,495.7,78.12,10702477.4021
1,10820.0,1,493.7,77.73,10702477.4021
2,10820.0,1,491.4,77.27,10702477.4021
3,10820.0,1,490.9,77.17,10702477.4021
4,10820.0,1,489.3,76.86,10702477.4021
5,10820.0,1,497.4,78.46,10702477.4021
6,10820.0,1,506.7,80.32,10702477.4021
7,10820.0,1,507.2,80.42,10702477.4021
8,10820.0,1,506.2,80.22,10702477.4021
9,10820.0,1,504.7,79.92,10702477.4021
10,10820.0,1,510.7,81.13,10702477.4021
11,10820.0,1,510.2,81.03,10702477.4021
12,10820.0,1,510.6,81.11,10702477.4021
13,10820.0,1,507.1,80.4,10702477.4021
14,10820.0,1,505.2,80.02,10702477.4021
15,10820.0,1,503.7,79.72,10702477.4021
16,10820.0,1,502.9,79.56,10702477.4021
17,10820.0,1,502.9,79.56,10702477.4021
18,10820.0,1,506.0,80.18,10702477.4021
19,10820.0,1,505.5,80.08,10702477.4021
20,10820.0,1,509.2,80.83,10702477.4021
21,10820.0,1,512.8,81.55,10702477.4021
22,10820.0,1,515.6,82.12,10702477.4021
23,10820.0,1,524.7,83.97,10702477.4021
24,10820.0,1,523.8,83.79,10702477.4021
25,10820.0,1,523.0,83.63,10702477.4021
26,10820.0,1,526.1,84.26,10702477.4021
27,10820.0,1,527.3,84.51,10702477.4021
28,10820.0,1,525.5,84.14,10702477.4021
29,10820.0,1,523.3,83.69,10702477.4021
30,10820.0,1,523.0,83.63,10702477.4021
31,10820.0,1,523.3,83.69,10702477.4021
32,10820.0,1,523.7,83.77,10702477.4021
33,10820.0,1,528.9,84.84,10702477.4021
34,10820.0,1,534.1,85.91,10702477.4021
35,10820.0,1,529.1,84.88,10702477.4021
36,10820.0,1,529.9,85.04,10702477.4021
37,10820.0,1,526.2,84.28,10702477.4021
38,10820.0,1,528.7,84.8,10702477.4021
39,10820.0,1,532.6,85.6,10702477.4021
40,10820.0,1,537.0,86.51,10702477.4021
41,10820.0,1,532.9,85.66,10702477.4021
42,10820.0,1,532.1,85.5,10702477.4021
43,10820.0,1,534.5,85.99,10702477.4021
44,10820.0,1,534.6,86.01,10702477.4021
45,10820.0,1,538.2,86.76,10702477.4021
46,10820.0,1,543.2,87.8,10702477.4021
47,10820.0,1,544.0,87.97,10702477.4021
48,10820.0,1,543.9,87.95,10702477.4021
49,10820.0,1,536.6,86.43,10702477.4021
50,10820.0,1,533.4,85.76,10702477.4021
51,10820.0,1,532.7,85.62,10702477.4021
52,10820.0,1,536.4,86.39,10702477.4021
53,10820.0,1,536.6,86.43,10702477.4021
54,10820.0,1,539.1,86.95,10702477.4021
55,10820.0,1,537.4,86.59,10702477.4021
56,10820.0,1,532.7,85.62,10702477.4021
57,10820.0,1,536.0,86.3,10702477.4021
58,10820.0,1,538.0,86.72,10702477.4021
59,10820.0,1,537.7,86.66,10702477.4021
60,10820.0,1,541.4,87.43,10702477.4021
61,10820.0,1,538.8,86.88,10702477.4021
62,10820.0,1,538.1,86.74,10702477.4021
63,10820.0,1,547.2,88.64,10702477.4021
64,10820.0,1,544.9,88.16,10702477.4021
65,10820.0,1,547.0,88.6,10702477.4021
66,10820.0,1,577.8,95.17,10702477.4021
67,10810.0,1,586.4,97.55,3826323.4522
68,10820.0,1,587.8,97.35,10702477.4021
69,10820.0,1,589.9,97.81,10702477.4021
70,10820.0,1,588.1,97.42,10702477.4021
71,10820.0,1,586.6,97.09,10702477.4021
72,10820.0,1,594.4,98.8,10702477.4021
73,10820.0,1,583.5,96.41,10702477.4021
74,10820.0,1,587.2,97.22,10702477.4021
75,10820.0,1,580.7,95.8,10702477.4021
76,10820.0,1,579.4,95.52,10702477.4021
77,10820.0,1,583.7,96.45,10702477.4021
78,10820.0,1,590.0,97.83,10702477.4021
79,10820.0,1,588.9,97.59,10702477.4021
80,10820.0,1,590.4,97.92,10702477.4021
81,10820.0,1,592.9,98.47,10702477.4021
82,10820.0,1,592.5,98.38,10702477.4021
83,10820.0,1,593.6,98.63,10702477.4021
84,10820.0,1,593.2,98.54,10702477.4021
85,10820.0,1,592.5,98.38,10702477.4021
86,10820.0,1,589.7,97.77,10702477.4021
87,10820.0,1,590.0,97.83,10702477.4021
88,10820.0,1,593.6,98.63,10702477.4021
89,10820.0,1,585.8,96.91,10702477.4021
90,10820.0,1,585.9,96.93,10702477.4021
91,10820.0,1,581.6,95.99,10702477.4021
92,10820.0,1,580.4,95.73,10702477.4021
93,10820.0,1,578.9,95.41,10702477.4021
94,10820.0,1,579.4,95.52,10702477.4021
95,10820.0,1,582.1,96.1,10702477.4021
96,10820.0,1,582.6,96.21,10702477.4021
97,10820.0,1,579.5,95.54,10702477.4021
98,10820.0,1,572.4,94.0,10702477.4021
99,10820.0,1,574.2,94.39,10702477.4021
100,10820.0,1,576.6,94.91,10702477.4021
101,10820.0,1,580.9,95.84,10702477.4021
102,10820.0,1,582.6,96.21,10702477.4021
103,10820.0,1,581.7,96.02,10702477.4021
104,10820.0,1,581.4,95.95,10702477.4021
105,10820.0,1,578.7,95.36,10702477.4021
106,10820.0,1,578.9,95.41,10702477.4021
107,10820.0,1,581.9,96.06,10702477.4021
108,10820.0,1,585.1,96.76,10702477.4021
109,10820.0,1,583.3,96.37,10702477.4021
110,10820.0,1,583.0,96.3,10702477.4021
111,10820.0,1,582.6,96.21,10702477.4021
112,10820.0,1,579.3,95.49,10702477.4021
113,10820.0,1,581.9,96.06,10702477.4021
114,10820.0,1,585.8,96.91,10702477.4021
115,10820.0,1,585.7,96.89,10702477.4021
116,10820.0,1,584.1,96.54,10702477.4021
117,10820.0,1,583.3,96.37,10702477.4021
118,10820.0,1,580.0,95.65,10702477.4021
119,10820.0,1,580.9,95.84,10702477.4021
120,10820.0,1,581.9,96.06,10702477.4021
121,10820.0,1,581.8,96.04,10702477.4021
122,10820.0,1,579.5,95.54,10702477.4021
123,10820.0,1,579.6,95.56,10702477.4021
124,10820.0,1,576.0,94.78,10702477.4021
125,10820.0,1,574.7,94.5,10702477.4021
126,10820.0,1,574.7,94.5,10702477.4021
127,10820.0,1,572.5,94.02,10702477.4021
128,10820.0,1,573.7,94.28,10702477.4021
129,10820.0,1,575.4,94.65,10702477.4021
130,10820.0,1,578.6,95.34,10702477.4021
131,10820.0,1,577.9,95.19,10702477.4021
132,10820.0,1,576.4,94.87,10702477.4021
133,10820.0,1,574.8,94.52,10702477.4021
134,10820.0,1,572.2,93.96,10702477.4021
135,10820.0,1,576.1,94.8,10702477.4021
136,10820.0,1,576.0,94.78,10702477.4021
137,10820.0,1,574.9,94.54,10702477.4021
138,10820.0,1,577.2,95.04,10702477.4021
139,10820.0,1,573.6,94.26,10702477.4021
140,10820.0,1,576.4,94.87,10702477.4021
141,10820.0,1,578.1,95.23,10702477.4021
142,10820.0,1,582.1,96.1,10702477.4021
143,10820.0,1,585.3,96.8,10702477.4021
144,10820.0,1,584.0,96.52,10702477.4021
145,10820.0,1,587.5,97.28,10702477.4021
146,10820.0,1,586.1,96.98,10702477.4021
147,10820.0,1,591.5,98.16,10702477.4021
148,10820.0,1,591.1,98.08,10702477.4021
149,10820.0,1,586.6,97.09,10702477.4021
150,10820.0,1,581.8,96.04,10702477.4021
151,10820.0,1,579.7,95.58,10702477.4021
