,lq period,lq check,max profit,max %,volume
0,21540.0,0,746.1,86.62,965918.8552
1,21540.0,0,745.5,86.54,965918.8552
2,21540.0,0,749.5,87.13,965918.8552
3,21540.0,0,748.3,86.95,965918.8552
4,21540.0,0,750.2,87.24,965918.8552
5,21540.0,0,749.4,87.12,965918.8552
6,21540.0,0,746.2,86.64,965918.8552
7,21540.0,0,747.5,86.83,965918.8552
8,21540.0,0,750.0,87.21,965918.8552
9,21540.0,0,749.9,87.19,965918.8552
10,21540.0,0,750.0,87.21,965918.8552
11,21540.0,0,748.6,87.0,965918.8552
12,21540.0,0,748.7,87.01,965918.8552
13,21540.0,0,752.0,87.51,965918.8552
14,21540.0,0,752.8,87.63,965918.8552
15,21540.0,0,752.4,87.57,965918.8552
16,21540.0,0,753.5,87.74,965918.8552
17,21540.0,0,752.5,87.58,965918.8552
18,21540.0,0,753.7,87.77,965918.8552
19,21540.0,0,756.0,88.11,965918.8552
20,21540.0,0,756.5,88.19,965918.8552
21,21540.0,0,754.2,87.84,965918.8552
22,21540.0,0,753.0,87.66,965918.8552
23,21540.0,0,749.3,87.1,965918.8552
24,21540.0,0,743.4,86.22,965918.8552
25,21540.0,0,744.0,86.31,965918.8552
26,21540.0,0,744.5,86.39,965918.8552
27,21540.0,0,746.6,86.7,965918.8552
28,21540.0,0,747.0,86.76,965918.8552
29,21540.0,0,746.4,86.67,965918.8552
30,21540.0,0,742.4,86.07,965918.8552
31,21540.0,0,742.7,86.12,965918.8552
32,21540.0,0,742.8,86.13,965918.8552
33,21540.0,0,743.1,86.18,965918.8552
34,21540.0,0,740.3,85.76,965918.8552
35,21540.0,0,740.3,85.76,965918.8552
36,21540.0,0,739.4,85.62,965918.8552
37,21540.0,0,739.6,85.65,965918.8552
38,21540.0,0,738.9,85.55,965918.8552
39,21540.0,0,733.4,84.73,965918.8552
40,21540.0,0,740.5,85.79,965918.8552
41,21540.0,0,743.9,86.3,965918.8552
42,21540.0,0,743.9,86.3,965918.8552
43,21540.0,0,748.7,87.01,965918.8552
44,21540.0,0,753.5,87.74,965918.8552
45,21540.0,0,756.2,88.14,965918.8552
46,21540.0,0,754.8,87.93,965918.8552
47,21540.0,0,754.4,87.87,965918.8552
48,21540.0,0,753.9,87.8,965918.8552
49,21540.0,0,756.8,88.23,965918.8552
50,21540.0,0,755.0,87.96,965918.8552
51,21540.0,0,754.7,87.92,965918.8552
52,21540.0,0,766.1,89.64,965918.8552
53,21540.0,0,784.0,92.38,965918.8552
54,21540.0,0,782.7,92.18,965918.8552
55,21540.0,0,785.5,92.61,965918.8552
56,21540.0,0,780.0,91.76,965918.8552
57,21540.0,0,785.3,92.58,965918.8552
58,21540.0,0,787.2,92.87,965918.8552
59,21540.0,0,785.7,92.64,965918.8552
60,21540.0,0,789.7,93.26,965918.8552
61,21540.0,0,772.0,90.54,965918.8552
62,21540.0,0,772.4,90.6,965918.8552
63,21540.0,0,776.0,91.15,965918.8552
64,21540.0,0,758.2,88.44,965918.8552
65,21540.0,0,760.0,88.72,965918.8552
66,21540.0,0,759.1,88.58,965918.8552
67,21540.0,0,761.4,88.93,965918.8552
68,21540.0,0,765.3,89.52,965918.8552
69,21540.0,0,769.8,90.2,965918.8552
70,21540.0,0,771.1,90.4,965918.8552
71,21540.0,0,766.9,89.76,965918.8552
72,21540.0,0,766.2,89.66,965918.8552
73,21540.0,0,766.9,89.76,965918.8552
74,21540.0,0,767.0,89.78,965918.8552
75,21540.0,0,765.0,89.47,965918.8552
76,21540.0,0,760.4,88.78,965918.8552
77,21540.0,0,760.0,88.72,965918.8552
78,21540.0,0,762.1,89.03,965918.8552
79,21540.0,0,757.8,88.38,965918.8552
80,21540.0,0,759.5,88.64,965918.8552
81,21540.0,0,758.2,88.44,965918.8552
82,21540.0,0,762.2,89.05,965918.8552
83,21540.0,0,760.7,88.82,965918.8552
84,21540.0,0,747.1,86.77,965918.8552
85,21540.0,0,749.7,87.16,965918.8552
86,21540.0,0,748.2,86.94,965918.8552
87,21540.0,0,748.3,86.95,965918.8552
88,21540.0,0,749.0,87.06,965918.8552
89,21540.0,0,747.1,86.77,965918.8552
90,21540.0,0,748.7,87.01,965918.8552
91,21540.0,0,748.4,86.97,965918.8552
92,21540.0,0,746.8,86.73,965918.8552
93,21540.0,0,747.8,86.88,965918.8552
94,21540.0,0,748.7,87.01,965918.8552
95,21540.0,0,740.0,85.71,965918.8552
96,21540.0,0,749.9,87.19,965918.8552
97,21540.0,0,748.0,86.91,965918.8552
98,21540.0,0,749.2,87.09,965918.8552
99,21540.0,0,747.9,86.89,965918.8552
100,21540.0,0,754.9,87.95,965918.8552
101,21540.0,0,754.7,87.92,965918.8552
102,21540.0,0,754.4,87.87,965918.8552
103,21540.0,0,751.1,87.37,965918.8552
104,21540.0,0,747.1,86.77,965918.8552
105,21540.0,0,743.4,86.22,965918.8552
106,21540.0,0,743.6,86.25,965918.8552
107,21540.0,0,743.9,86.3,965918.8552
108,21540.0,0,744.6,86.4,965918.8552
109,21540.0,0,747.7,86.86,965918.8552
110,21540.0,0,747.8,86.88,965918.8552
111,21540.0,0,745.9,86.59,965918.8552
112,21540.0,0,744.5,86.39,965918.8552
113,21540.0,0,746.9,86.74,965918.8552
114,21540.0,0,747.2,86.79,965918.8552
115,21540.0,0,743.2,86.19,965918.8552
116,21540.0,0,743.6,86.25,965918.8552
117,21540.0,0,747.9,86.89,965918.8552
118,21540.0,0,748.9,87.04,965918.8552
119,21540.0,0,749.7,87.16,965918.8552
120,21540.0,0,748.6,87.0,965918.8552
121,21540.0,0,747.2,86.79,965918.8552
122,21540.0,0,748.0,86.91,965918.8552
123,21540.0,0,749.7,87.16,965918.8552
124,21540.0,0,747.5,86.83,965918.8552
125,21540.0,0,748.2,86.94,965918.8552
126,21540.0,0,745.6,86.55,965918.8552
127,21540.0,0,745.1,86.48,965918.8552
128,21540.0,0,746.9,86.74,965918.8552
129,21540.0,0,746.5,86.68,965918.8552
130,21540.0,0,746.4,86.67,965918.8552
131,21540.0,0,746.8,86.73,965918.8552
132,21540.0,0,745.4,86.52,965918.8552
133,21540.0,0,746.4,86.67,965918.8552
134,21540.0,0,747.3,86.8,965918.8552
135,21540.0,0,746.5,86.68,965918.8552
136,21540.0,0,749.2,87.09,965918.8552
137,21540.0,0,753.2,87.69,965918.8552
138,21540.0,0,754.9,87.95,965918.8552
139,21540.0,0,755.1,87.98,965918.8552
140,21540.0,0,757.5,88.34,965918.8552
141,21540.0,0,759.9,88.7,965918.8552
142,21540.0,0,759.6,88.66,965918.8552
143,21540.0,0,760.9,88.85,965918.8552
144,21540.0,0,767.4,89.84,965918.8552
145,21540.0,0,770.2,90.26,965918.8552
146,21540.0,0,775.8,91.12,965918.8552
147,21540.0,0,772.4,90.6,965918.8552
148,21540.0,0,774.0,90.85,965918.8552
149,21540.0,0,773.1,90.71,965918.8552
150,21540.0,0,776.0,91.15,965918.8552
151,21540.0,0,777.0,91.3,965918.8552
152,21540.0,0,776.6,91.24,965918.8552
153,21540.0,0,776.1,91.17,965918.8552
154,21540.0,0,776.9,91.29,965918.8552
155,21540.0,0,781.6,92.01,965918.8552
156,21540.0,0,784.2,92.41,965918.8552
157,21540.0,0,782.8,92.2,965918.8552
158,21540.0,0,773.1,90.71,965918.8552
159,21540.0,0,775.0,91.0,965918.8552
160,21540.0,0,775.2,91.03,965918.8552
161,21540.0,0,773.5,90.77,965918.8552
162,21540.0,0,773.0,90.69,965918.8552
163,21540.0,0,771.9,90.52,965918.8552
164,21540.0,0,772.2,90.57,965918.8552
165,21540.0,0,772.0,90.54,965918.8552
166,21540.0,0,767.7,89.88,965918.8552
167,21540.0,0,769.0,90.08,965918.8552
168,21540.0,0,761.0,88.87,965918.8552
169,21540.0,0,761.3,88.91,965918.8552
170,21540.0,0,761.4,88.93,965918.8552
171,21540.0,0,763.8,89.29,965918.8552
172,21540.0,0,763.2,89.2,965918.8552
173,21540.0,0,763.5,89.25,965918.8552
174,21540.0,0,755.7,88.07,965918.8552
175,21540.0,0,758.2,88.44,965918.8552
176,21540.0,0,761.5,88.94,965918.8552
177,21540.0,0,763.9,89.31,965918.8552
178,21540.0,0,799.4,94.77,965918.8552
179,21540.0,0,812.9,96.89,965918.8552
180,21540.0,0,821.7,98.28,965918.8552
