,lq period,lq check,max profit,max %,volume
0,38880.0,0,80.9,18.26,602509.6771
1,38880.0,0,85.7,19.41,602509.6771
2,38880.0,0,86.8,19.68,602509.6771
3,38880.0,0,82.9,18.74,602509.6771
4,38880.0,0,82.1,18.55,602509.6771
5,38880.0,0,79.5,17.93,602509.6771
6,38880.0,0,79.4,17.9,602509.6771
7,38880.0,0,80.1,18.07,602509.6771
8,38880.0,0,80.4,18.14,602509.6771
9,38880.0,0,77.0,17.33,602509.6771
10,38880.0,0,76.7,17.26,602509.6771
11,38880.0,0,77.1,17.35,602509.6771
12,38880.0,0,76.9,17.31,602509.6771
13,38880.0,0,79.9,18.02,602509.6771
14,38880.0,0,80.3,18.12,602509.6771
15,38880.0,0,80.1,18.07,602509.6771
16,38880.0,0,80.2,18.09,602509.6771
17,38880.0,0,80.9,18.26,602509.6771
18,38880.0,0,83.6,18.91,602509.6771
19,38880.0,0,82.8,18.72,602509.6771
20,38880.0,0,80.0,18.05,602509.6771
21,38880.0,0,79.2,17.85,602509.6771
22,38880.0,0,79.9,18.02,602509.6771
23,38880.0,0,79.9,18.02,602509.6771
24,38880.0,0,79.9,18.02,602509.6771
25,38880.0,0,81.0,18.28,602509.6771
26,38880.0,0,81.8,18.48,602509.6771
27,38880.0,0,83.4,18.86,602509.6771
28,38880.0,0,83.6,18.91,602509.6771
29,38880.0,0,81.4,18.38,602509.6771
30,38880.0,0,80.8,18.24,602509.6771
31,38880.0,0,79.7,17.97,602509.6771
32,38880.0,0,73.8,16.57,602509.6771
33,38880.0,0,70.0,15.67,602509.6771
34,38880.0,0,69.5,15.55,602509.6771
35,38880.0,0,70.3,15.74,602509.6771
36,38880.0,0,69.1,15.46,602509.6771
37,38880.0,0,68.2,15.25,602509.6771
38,38880.0,0,71.1,15.93,602509.6771
39,38880.0,0,71.0,15.91,602509.6771
40,38880.0,0,70.0,15.67,602509.6771
41,38880.0,0,65.9,14.71,602509.6771
42,38880.0,0,69.7,15.6,602509.6771
43,38880.0,0,70.7,15.84,602509.6771
44,38880.0,0,69.3,15.51,602509.6771
45,38880.0,0,66.4,14.83,602509.6771
46,38880.0,0,60.0,13.33,602509.6771
47,38880.0,0,63.0,14.03,602509.6771
48,38880.0,0,60.3,13.4,602509.6771
49,38880.0,0,63.2,14.08,602509.6771
50,38880.0,0,64.5,14.38,602509.6771
51,38880.0,0,64.7,14.43,602509.6771
52,38880.0,0,64.3,14.33,602509.6771
53,38880.0,0,64.0,14.26,602509.6771
54,38880.0,0,63.4,14.12,602509.6771
55,38880.0,0,60.2,13.38,602509.6771
56,38880.0,0,61.4,13.66,602509.6771
57,38880.0,0,57.9,12.85,602509.6771
58,38880.0,0,56.0,12.41,602509.6771
59,38880.0,0,57.3,12.71,602509.6771
60,38880.0,0,58.1,12.89,602509.6771
61,38880.0,0,59.1,13.12,602509.6771
62,38880.0,0,59.0,13.1,602509.6771
63,38880.0,0,57.8,12.82,602509.6771
64,38880.0,0,59.5,13.22,602509.6771
65,38880.0,0,58.6,13.01,602509.6771
66,38880.0,0,50.1,11.05,602509.6771
67,38880.0,0,49.0,10.8,602509.6771
68,38880.0,0,51.3,11.33,602509.6771
69,38880.0,0,52.1,11.51,602509.6771
70,38880.0,0,54.7,12.11,602509.6771
71,38880.0,0,53.9,11.92,602509.6771
72,38880.0,0,52.4,11.58,602509.6771
73,38880.0,0,53.6,11.85,602509.6771
74,38880.0,0,54.7,12.11,602509.6771
75,38880.0,0,53.4,11.81,602509.6771
76,38880.0,0,55.3,12.25,602509.6771
77,38880.0,0,57.2,12.68,602509.6771
78,38880.0,0,56.0,12.41,602509.6771
79,38880.0,0,59.8,13.29,602509.6771
80,38880.0,0,58.1,12.89,602509.6771
81,38880.0,0,55.9,12.38,602509.6771
82,38880.0,0,56.8,12.59,602509.6771
83,38880.0,0,59.1,13.12,602509.6771
84,38880.0,0,59.9,13.31,602509.6771
85,38880.0,0,58.8,13.06,602509.6771
86,38880.0,0,59.5,13.22,602509.6771
87,38880.0,0,57.9,12.85,602509.6771
88,38880.0,0,56.6,12.55,602509.6771
89,38880.0,0,52.1,11.51,602509.6771
90,38880.0,0,52.4,11.58,602509.6771
91,38880.0,0,56.4,12.5,602509.6771
92,38880.0,0,57.4,12.73,602509.6771
93,38880.0,0,60.0,13.33,602509.6771
94,38880.0,0,63.5,14.15,602509.6771
95,38880.0,0,64.7,14.43,602509.6771
96,38880.0,0,65.4,14.59,602509.6771
97,38880.0,0,70.2,15.72,602509.6771
98,38880.0,0,70.9,15.88,602509.6771
99,38880.0,0,71.4,16.0,602509.6771
100,38880.0,0,71.9,16.12,602509.6771
101,38880.0,0,68.4,15.3,602509.6771
102,38880.0,0,62.2,13.84,602509.6771
103,38880.0,0,63.0,14.03,602509.6771
104,38880.0,0,61.4,13.66,602509.6771
105,38880.0,0,60.7,13.5,602509.6771
106,38880.0,0,64.7,14.43,602509.6771
107,38880.0,0,65.6,14.64,602509.6771
108,38880.0,0,65.7,14.66,602509.6771
109,38880.0,0,63.5,14.15,602509.6771
110,38880.0,0,59.4,13.19,602509.6771
111,38880.0,0,57.6,12.78,602509.6771
112,38880.0,0,59.3,13.17,602509.6771
113,38880.0,0,60.4,13.43,602509.6771
114,38880.0,0,59.0,13.1,602509.6771
115,38880.0,0,59.9,13.31,602509.6771
116,38880.0,0,56.3,12.48,602509.6771
117,38880.0,0,60.9,13.54,602509.6771
118,38880.0,0,64.3,14.33,602509.6771
119,38880.0,0,67.7,15.13,602509.6771
120,38880.0,0,57.9,12.85,602509.6771
121,38880.0,0,57.6,12.78,602509.6771
122,38880.0,0,62.3,13.87,602509.6771
123,38880.0,0,63.9,14.24,602509.6771
124,38880.0,0,64.7,14.43,602509.6771
125,38880.0,0,58.6,13.01,602509.6771
126,38880.0,0,33.2,7.23,602509.6771
127,38880.0,0,31.1,6.77,602509.6771
128,38880.0,0,31.0,6.74,602509.6771
129,38880.0,0,32.0,6.97,602509.6771
130,38880.0,0,35.9,7.84,602509.6771
131,38880.0,0,8.3,1.78,602509.6771
